trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-218.97229647370438,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-187.50509013696217,"{0: 9, 1: 0, 2: 6, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-114.982167651389,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-56.632564078087675,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-93.62276932383944,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-101.43208051514073,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-10.94394351849616,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-102.6489092038249,"{0: 15, 1: 1, 2: 6, 3: 3, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-123.03918392564456,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-57.85113993546682,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-24.055735176133453,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,1,-21.41248900131667,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,28.282058984527357,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,10,-30.652470141607715,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,10,5.2340018335839416,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,11,-45.822427619147824,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,4,-36.81849708193422,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,5,7.154286305013701,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,0,45.20877235529578,"{0: 34, 1: 1, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,16,25.552587280077223,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,16,6.543054577254113,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,14,24.469652503875366,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,32.06593959097795,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,8,24.837132103249367,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,2,4.445003770225884,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,4,27.192518236274527,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,27.239058028254934,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,22,16.886571929673654,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,10,8.673068901798311,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,15,9.671462793491608,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
