trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",35,0,-171.90427960283915,"{0: 22, 1: 3, 2: 6, 3: 2, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",20,0,-174.85073208629464,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",25,0,-122.05027663551633,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",30,0,-116.4980478939278,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.951229424500714}",25,0,-72.48166463316055,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",20,0,-126.27208961667593,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",25,9,-40.92147910686745,"{0: 10, 1: 4, 2: 1, 3: 1, 4: 0}",1
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",30,0,-161.11390469554618,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",25,0,-123.82556674428842,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,0,-49.737075688017974,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",30,0,-11.23247837783314,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",25,0,-89.06003816918442,"{0: 17, 1: 0, 2: 5, 3: 3, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",20,0,-130.18290255369573,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",25,0,-38.24585943978189,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",30,0,-182.83264753332642,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",30,0,-56.11617616832302,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",30,8,-34.205038606317,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 0}",1
18,False,"{'a': 0.01, 'e': 0.835270211411272}",25,7,-50.80838918583541,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",25,16,-50.036857260272335,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
20,False,"{'a': 0.01, 'e': 0.8187307530779818}",30,0,-110.93742692997274,"{0: 22, 1: 0, 2: 6, 3: 0, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.8105842459701871}",25,0,-141.8596868647046,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
22,False,"{'a': 0.01, 'e': 0.8025187979624785}",20,0,-62.31716332203561,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.794533602503334}",25,0,-111.20333639446989,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
24,False,"{'a': 0.01, 'e': 0.7866278610665535}",25,4,3.0025759139686454,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
25,False,"{'a': 0.01, 'e': 0.7788007830714049}",30,0,-0.011019163555573641,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.7710515858035663}",25,6,-87.59577864973511,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 0}",1
27,False,"{'a': 0.01, 'e': 0.7633794943368531}",20,14,0.4087490106513505,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.01, 'e': 0.7557837414557255}",25,5,-28.793290917709555,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",1
29,False,"{'a': 0.01, 'e': 0.7482635675785653}",30,0,-191.06807873644328,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",0
30,False,"{'a': 0.01, 'e': 0.7408182206817179}",20,6,-47.17025749166451,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
31,False,"{'a': 0.01, 'e': 0.7334469562242892}",30,0,-136.5682373495352,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.7261490370736909}",25,0,-59.759015652602386,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
33,False,"{'a': 0.01, 'e': 0.7189237334319262}",30,0,-110.64499673206672,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
34,False,"{'a': 0.01, 'e': 0.7117703227626098}",25,14,-8.248381342428091,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.01, 'e': 0.7046880897187134}",20,10,10.300874926748687,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.01, 'e': 0.697676326071031}",30,0,-159.34423598243146,"{0: 17, 1: 0, 2: 10, 3: 2, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.6907343306373547}",30,0,-82.62493133828495,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.6838614092123558}",25,5,-53.02882778667191,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",1
39,False,"{'a': 0.01, 'e': 0.6770568744981647}",30,0,-88.99974004276869,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.6703200460356393}",25,0,-45.08603459374317,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",1
41,False,"{'a': 0.01, 'e': 0.6636502501363194}",30,0,-59.621999296759775,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
42,False,"{'a': 0.01, 'e': 0.6570468198150569}",20,0,-10.719569201491248,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
43,False,"{'a': 0.01, 'e': 0.6505090947233165}",20,0,-78.29682672490965,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.6440364210831414}",25,0,-136.5758216428725,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
45,False,"{'a': 0.01, 'e': 0.6376281516217733}",20,12,0.7438638640422337,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
