trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",30,12,-115.8369300005144,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 3}",1
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",30,0,-200.82605757645962,"{0: 15, 1: 3, 2: 8, 3: 2, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",30,0,-177.49998928723272,"{0: 20, 1: 2, 2: 3, 3: 2, 4: 3}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-158.4581414745767,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",25,0,-133.944207596846,"{0: 14, 1: 6, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-74.03878015802522,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-154.88403133077966,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-125.80333796715561,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-185.57437924134464,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",30,0,-80.44032592707839,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-171.17809034942073,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",30,0,-212.7463735723208,"{0: 17, 1: 4, 2: 3, 3: 3, 4: 3}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",30,0,-183.52685402570333,"{0: 16, 1: 5, 2: 5, 3: 2, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",30,4,-212.43764394425963,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 3}",1
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",30,0,-194.1023013469951,"{0: 14, 1: 6, 2: 6, 3: 2, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-108.98884424284094,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-217.50841582175374,"{0: 14, 1: 3, 2: 2, 3: 2, 4: 4}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,11,-44.214173965023534,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-126.72951564547371,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-128.92046894078908,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-42.4431839742796,"{0: 14, 1: 4, 2: 0, 3: 2, 4: 0}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,0,-106.25277762883086,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-229.72253604661387,"{0: 13, 1: 1, 2: 4, 3: 4, 4: 3}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",20,4,-99.70476281356048,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 2}",1
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-73.82379543857459,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,3,-71.73314857071453,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 1}",1
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",25,0,-107.51817090780871,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,0,-81.09890932383097,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-45.36978529028479,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",30,0,-172.2116058490395,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,-100.04682433343604,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,0,-123.16242205818766,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-90.40492408879152,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,0,-153.00498347942764,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,0,-153.01291935362534,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",25,0,-199.9250877112707,"{0: 11, 1: 3, 2: 7, 3: 2, 4: 2}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",25,8,-115.75820739187894,"{0: 7, 1: 1, 2: 8, 3: 0, 4: 1}",1
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",25,6,-153.44508883607395,"{0: 11, 1: 0, 2: 3, 3: 3, 4: 2}",1
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",30,0,-151.22160653086428,"{0: 15, 1: 5, 2: 8, 3: 1, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,0,-102.35631753871552,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,0,-125.82876138984848,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",25,1,-86.84518388045608,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 1}",1
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-100.48408577601303,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",25,0,-107.91500561314642,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",1
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",30,0,0.5923783593823926,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",1
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",20,0,-62.60707159615156,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.891568288195329}",25,0,-66.70505726246108,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,0,-47.14352127315485,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",30,19,-45.376066952526315,"{0: 6, 1: 1, 2: 3, 3: 1, 4: 0}",1
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,0,-47.19369634142572,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-44.095979621982515,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",25,0,-24.740251459167116,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",30,0,-193.48145438226138,"{0: 20, 1: 0, 2: 6, 3: 0, 4: 4}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,-99.72047296157297,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",25,0,-137.6907685517748,"{0: 15, 1: 0, 2: 6, 3: 3, 4: 1}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,2,-136.61781882283805,"{0: 11, 1: 0, 2: 3, 3: 2, 4: 2}",1
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",30,0,-90.15433841424155,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,1,-9.474080653766336,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",20,9,-27.15731701388642,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",20,0,-93.08371332346724,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,0,-171.94151025407652,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,0,-66.64410464282275,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,9,-3.1516363832596337,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",20,0,-54.48761528032093,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",30,8,-63.86855311428704,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 1}",1
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",20,0,-127.822056808061,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",25,6,-20.766584153349633,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",25,0,-114.00464976958331,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",20,0,-112.85413645669243,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",30,0,-76.24923310036624,"{0: 21, 1: 3, 2: 3, 3: 3, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,0,-42.60603439391505,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
72,False,"{'a': 0.01, 'e': 0.751805729140895}",25,17,-14.625493708498036,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",25,16,-15.467438771659866,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",30,0,-138.39670089347965,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",20,10,-57.06894379136447,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",35,19,-22.294358833900905,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
77,False,"{'a': 0.01, 'e': 0.7179106696109433}",20,0,-78.02585053686734,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,0,2.1338407071279555,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522361}",20,0,-232.14384791508044,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 5}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471654}",20,14,-43.55897086198397,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
81,False,"{'a': 0.01, 'e': 0.689498432951747}",35,14,-76.42120054373403,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 1}",1
82,False,"{'a': 0.01, 'e': 0.6822212072876135}",25,13,-25.549027498214464,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 0}",1
83,False,"{'a': 0.01, 'e': 0.674875760071267}",25,0,-63.909124990359565,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413081}",25,0,-42.18686901950673,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,0,-31.40549880337908,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",25,16,16.618069373380056,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",25,0,-61.053186593864766,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,0,-40.098158391770724,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",20,2,-31.070430130439178,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",30,0,-75.33269507825253,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",30,0,-77.45939047169192,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",20,0,-27.170031413551726,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",25,0,-29.495872606682287,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",20,0,-90.30353260570058,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",20,0,-69.36416998341721,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,3,-123.90503495961474,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 3}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",25,14,-13.784434663247174,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,0,-9.384282289532479,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",25,0,-76.35792531679716,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",20,0,0.5134942660808799,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",25,3,-70.26419408350738,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",20,6,-11.513088352615043,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,3,-16.220729799774265,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",20,1,-50.138569877972984,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",25,8,-43.812983335227486,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",20,0,-82.42564830483323,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",25,0,-25.079188771064448,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,11,-26.6934223432379,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",25,14,-58.66230399906542,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 1}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",30,14,-39.45447026617712,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",25,5,-10.935471228817475,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",25,14,10.74029194398962,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",25,2,-19.245208322998323,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",25,11,12.91108013943473,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,4,-56.77061598470422,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",30,12,-12.042386696063287,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,8,11.224779848238258,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",20,0,8.874130491927767,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
119,False,"{'a': 0.01, 'e': 0.371659872260533}",25,6,-28.01314562849752,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,4,-19.08438702772043,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",20,12,2.4582852803376465,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,0,28.091009920958953,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",25,10,6.098140493905447,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",20,0,-69.9469481147858,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",30,0,-10.793429801434549,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",0
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",25,13,22.673887919909667,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",30,12,-65.05851105603402,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",20,10,6.248512309326207,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",35,21,6.583627250928826,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",20,0,15.640719858394148,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
131,False,"{'a': 0.01, 'e': 0.25785003253266964}",30,14,12.880109598432199,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",20,0,-9.893749445390736,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",30,17,-4.550707913506924,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",20,6,-33.51136188360309,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",20,11,-22.28067754097276,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",25,17,-37.279841806587804,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",25,0,22.93605996887849,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
