trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,7,-119.31184801105542,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.17937355262467,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-39.862830313279936,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-60.25413035454989,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.819604506103,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-196.16007351833477,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.3372349365603,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-206.44079953060717,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-158.7202988637254,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.00838130759443,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-7.895426738562319,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.22768646687382,"{0: 16, 1: 6, 2: 1, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-96.99159598088501,"{0: 18, 1: 3, 2: 8, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.55452646388324,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,1,-128.19647012514886,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-161.71663842693798,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.60637343573305,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.62734442032158,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-16.655875678592526,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.55685321648917,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-144.88009194864316,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-56.26532627695701,"{0: 21, 1: 5, 2: 3, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-82.53851305274777,"{0: 10, 1: 5, 2: 3, 3: 2, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-136.76137119543193,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.76515002850881,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-155.07377481846615,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.04866561456345,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.93661138781931,"{0: 12, 1: 3, 2: 1, 3: 3, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-165.8561482478512,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.52168770464037,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
